license_title,maintainer,private,maintainer_email,id,metadata_created,relationships,license,metadata_modified,author,author_email,state,version,license_id,type,tags,tracking_summary - total,tracking_summary - recent,groups,organization,name,isopen,notes_rendered,url,ckan_url,notes,owner_org,ratings_average,extras - Data Dictionary,extras - Unit of Analysis,extras - hd2-workflow-id,extras - Agency,extras - Coverage Period Fiscal Year Start,extras - Geographic Granularity,extras - Coverage Period Fiscal Year End,extras - Technical Documentation,extras - Agency Program URL,extras - Date Released,extras - author_id,extras - Subject Area 1,ratings_count,title,revision_id,resources_0_url,resources_0_name,resources_1_url,resources_1_name,resources_2_url,resources_2_name,extras - Coverage Period Start,extras - Coverage Period End,extras - Migration Notes JSON,extras - Geographic Scope,extras - Collection Frequency,extras - Date Updated,extras - License Agreement,extras - License Agreement Required,extras - Subject Area 2,extras - Group Name,extras - Subject Area 3,extras - Collection Instrument
License Not Specified,,false,,002868db-4f38-4b58-84a3-a16d45655f1e,2012-11-01T16:39:52.003109,"",License Not Specified,2012-11-01T16:39:52.003109,Centers for Medicare & Medicaid Services,,active,,notspecified,dataset,"claims, institutional provider, medicare, part a",0,0,4d3883e9-d295-4e5a-85e9-dfafb02b0e31,,2010-institutional-provider,false,"<p>The CMS IPBS PUFs are aggregated files in which each record summarizes information for a particular institutional provider. An institutional provider refers to a hospital, a critical care facility, a skilled nursing facility, a home health agency or hospice or another similar institution providing services to Medicare beneficiaries. Information about individual beneficiaries is not reported.
</p>",http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/BSAPUFS/index.html,http://hub.healthdata.gov/dataset/2010-institutional-provider,"The CMS IPBS PUFs are aggregated files in which each record summarizes information for a particular institutional provider. An institutional provider refers to a hospital, a critical care facility, a skilled nursing facility, a home health agency or hospice or another similar institution providing services to Medicare beneficiaries. Information about individual beneficiaries is not reported.",,,http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/BSAPUFS/Downloads/2010_IPBS_DD_CB.pdf,Institutional Provider,23761,Department of Health & Human Services,2010-01-01 00:00:00,County,2010-01-01 00:00:00,http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/BSAPUFS/Downloads/2010_IPBS_GenDoc.pdf,http://www.cms.gov/Research-Statistics-Data-and-Systems/Research-Statistics-Data-and-Systems.html,2012-07-31 00:00:00,http://healthdata.gov/id/agency/cms,Medicare,0,2010 Institutional Provider & Beneficiary Summary PUF,54346d7a-5631-4e89-a449-be0bd82b7588,http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/BSAPUFS/Downloads/2010IPBSPUF.zip,CSV,"","","","","","","","","","","","","","","",""
License Not Specified,,false,,0056861d-28cd-4f8d-97b3-6205517637c3,2012-05-30T22:09:22.861579,"",License Not Specified,2013-05-18T11:45:01.828137,National Library of Medicine,,active,,notspecified,dataset,"community health, dietary supplements, united states",0,0,1432fb6e-2cb8-47b5-a343-d72d3f4cc79f,,dietary-supplement-label-database,false,"<p>The database is designed to help both the general public and health care providers find information about ingredients in brand-name products, including name, form, active and inactive ingredients, amount of active ingredient/unit, manufacturer/distributor information, suggested dose, label claims, warnings, percentage of daily value, and further label information.
</p>",http://dsld.nlm.nih.gov/dsld/,http://hub.healthdata.gov/dataset/dietary-supplement-label-database,"The database is designed to help both the general public and health care providers find information about ingredients in brand-name products, including name, form, active and inactive ingredients, amount of active ingredient/unit, manufacturer/distributor information, suggested dose, label claims, warnings, percentage of daily value, and further label information.",,,http://www.nlm.nih.gov/mesh/MBrowser.html,Health Information,285,National Institutes of Health,"","","",http://www.nlm.nih.gov/pubs/factsheets/dietaryfs.html,http://www.nlm.nih.gov/,2005-01-01 00:00:00,http://healthdata.gov/id/agency/nlm,Treatments,0,Dietary Supplement Label Database,bff36f28-a513-48b7-a9bb-ba402231928c,http://dsld.nlm.nih.gov/dsld/,Query Tool,"","","","",2005-01-01 00:00:00,2005-01-01 00:00:00,"{""Coverage Period Start"": ""2005"", ""Coverage Period End"": ""Current"", ""datadotgovid1"": ""1244"", ""datadotgovid2"": ""yyc4-ey4s"", ""Date Updated"": ""As needed"", ""Date Released"": ""2005""}",United States,"","","","","","","",""
License Not Specified,,false,,00aada73-a456-4547-ac5a-e5ffdc6b4847,2012-05-30T22:08:34.073703,"",License Not Specified,2012-08-14T19:48:11.414694,Centers for Medicare & Medicaid Services,,active,,notspecified,dataset,"community health, nursing home, nusing home compare, quality measures, skilled nursing",0,0,"",,nursing-home-compare,false,"<p>The data that is used by the Nursing Home Compare tool can be downloaded for public use. This functionality is primarily used by health policy researchers and the media. Demographic data is refreshed monthly while quality measures are refreshed the first month of each quarter. In order to ease the downloading process, the data have been divided into 5 separate databases.  About the Nursing Home About the Nursing Home Inspection Results About the Nursing Home Residents About the Nursing Home Staff About the Nursing Home Ratings
</p>",http://www.medicare.gov/NursingHomeCompare/Resources/Downloadable-Database.aspx,http://hub.healthdata.gov/dataset/nursing-home-compare,"The data that is used by the Nursing Home Compare tool can be downloaded for public use. This functionality is primarily used by health policy researchers and the media. Demographic data is refreshed monthly while quality measures are refreshed the first month of each quarter. In order to ease the downloading process, the data have been divided into 5 separate databases.  About the Nursing Home About the Nursing Home Inspection Results About the Nursing Home Residents About the Nursing Home Staff About the Nursing Home Ratings",,,"",Establishment,223,Department of Health & Human Services,"",Country,"","",http://www.medicare.gov/NursingHomeCompare/search.aspx,2008-01-01 00:00:00,http://healthdata.gov/id/agency/cms,Quality Measurement,0,Nursing Home Compare,81ff6738-085f-4925-820e-f2b5eae70c76,http://www.medicare.gov/Download/NHCallfiles.zip,Query Tool,http://data.medicare.gov/dataset/Nursing-Home-Compare-Provider-Ratings/mufm-vy8d,API,"","",2008-01-01 00:00:00,2009-12-31 00:00:00,"{""datadotgovid1"": ""465"", ""Date Released"": """", ""datadotgovid2"": ""vbua-3z6x"", ""Coverage Period End"": ""2009"", ""Coverage Period Start"": ""2008""}","",Monthly,2010-07-30 00:00:00,"","","","","",""
License Not Specified,,false,,0235911d-2641-4a20-9b0d-c10396a97c46,2013-01-18T15:41:09.526707,"",License Not Specified,2013-01-18T15:41:09.526707,Administration for Children and Families,,active,,notspecified,dataset,adoption and foster care,0,0,1b06ea46-d1da-429d-b130-84bc91698d23,,adoption-foster-care-analysis,false,"<p>The AFCARS Trends Chart tracks children in Foster Care from FY 2002 through the most recent year.  A table of data and a graphic depiction of trends are shown for children in care on the first day of the year, entries to foster care, exits, children waiting to be adopted,  children adopted, children with terminations of parental rights, and total children served in foster care.
</p>",,http://hub.healthdata.gov/dataset/adoption-foster-care-analysis,"The AFCARS Trends Chart tracks children in Foster Care from FY 2002 through the most recent year.  A table of data and a graphic depiction of trends are shown for children in care on the first day of the year, entries to foster care, exits, children waiting to be adopted,  children adopted, children with terminations of parental rights, and total children served in foster care.",,,"","",23798,Department of Health & Human Services,2010-01-01 00:00:00,"",2011-01-01 00:00:00,"",http://www.acf.hhs.gov/programs/cb/resource/trends-in-foster-care-and-adoption,"",http://healthdata.gov/id/agency/acf,Children's Health,0,Adoption and Foster Care Analysis and Reporting System Trends Chart and Table,b9852eae-663a-447e-8bc5-84824df36410,"","","","","","","","","",National,Semi-Annually,2012-07-12 00:00:00,"","","","","",""
License Not Specified,,false,,02588273-41d6-4ae5-a90a-1e336d0f129e,2012-05-30T22:09:51.101919,"",License Not Specified,2012-05-30T22:09:51.101919,Centers for Disease Control and Prevention,,active,,notspecified,dataset,"age, babies, bmi, child, community health, growth charts, head circumference, infant, length, lms parameters, pediatric, percentiles, stature, weight, z-scores",0,0,"",,child-growth-charts,false,"<p>CDC child growth charts consist of a series of percentile curves that illustrate the distribution of selected body measurements in U.S. children. Pediatric growth charts have been used by pediatricians, nurses, and parents to track the growth of infants, children, and adolescents in the United States since 1977.   Growth charts are not intended to be used as a sole diagnostic instrument. Instead, growth charts are tools that contribute to forming an overall clinical impression for the child being measured.
</p>",http://,http://hub.healthdata.gov/dataset/child-growth-charts,"CDC child growth charts consist of a series of percentile curves that illustrate the distribution of selected body measurements in U.S. children. Pediatric growth charts have been used by pediatricians, nurses, and parents to track the growth of infants, children, and adolescents in the United States since 1977.   Growth charts are not intended to be used as a sole diagnostic instrument. Instead, growth charts are tools that contribute to forming an overall clinical impression for the child being measured.",,,"",person,315,Department of Health & Human Services,"",Country,"",http://www.cdc.gov/nchs/data/series/sr_11/sr11_246.pdf,http://,1977-01-01,http://healthdata.gov/id/agency/cdc,Population Statistics,0,CDC Child Growth Charts,4f1339d3-ff0b-4c12-a6c1-b064904a46e0,http://www.cdc.gov/growthcharts/,Query Tool,"","","","",1965-01-01,2000-12-31,"{""Coverage Period Start"": ""1965"", ""Agency Program Page"": ""National Center for Health Statistics, http://www.cdc.gov/nchs/"", ""Coverage Period End"": ""2000"", ""datadotgovid1"": ""1917"", ""datadotgovid2"": ""enzh-g2p7"", ""Agency Data Series Page"": ""CDC Child Growth Charts, http://www.cdc.gov/growthcharts/""}",United States of America,Annually,2000-05-30,"","","","","",""
License Not Specified,,false,,0278a8ad-dc87-48ec-a21c-b38b6eb27425,2013-01-18T15:24:03.871689,"",License Not Specified,2013-01-18T15:24:03.871689,Administration for Children and Families,,active,,notspecified,dataset,"child abuse, child maltreatment, child safety",0,0,1b06ea46-d1da-429d-b130-84bc91698d23,,national-child-abuse-neglect,false,"<p>The National Child Abuse and Neglect Data System (NCANDS) Child File data set consists of child-specific data of all reports of maltreatment to State child protective service agencies that received an investigation or assessment response. NCANDS is a Federally-sponsored national data collection effort created for the purpose of tracking the volume and nature of child maltreatment reporting each year within the United States. The Child File is the case-level component of the NCANDS. Child File data are collected annually through the voluntary participation of States. Participating States submit their data after going through a process in which the State's administrative system is mapped to the NCANDS data structure.  Data elements include the demographics of children and their perpetrators, types of maltreatment, investigation or assessment dispositions, risk factors, and services provided as a result of the investigation or assessment.
</p>",http://www.acf.hhs.gov/programs/cb/research-data-technology/statistics-research/child-maltreatment,http://hub.healthdata.gov/dataset/national-child-abuse-neglect,"The National Child Abuse and Neglect Data System (NCANDS) Child File data set consists of child-specific data of all reports of maltreatment to State child protective service agencies that received an investigation or assessment response. NCANDS is a Federally-sponsored national data collection effort created for the purpose of tracking the volume and nature of child maltreatment reporting each year within the United States. The Child File is the case-level component of the NCANDS. Child File data are collected annually through the voluntary participation of States. Participating States submit their data after going through a process in which the State's administrative system is mapped to the NCANDS data structure.  Data elements include the demographics of children and their perpetrators, types of maltreatment, investigation or assessment dispositions, risk factors, and services provided as a result of the investigation or assessment.",,,"","case-specific records of reports, children, postresponse services, and perpetrators",23794,Department of Health & Human Services,2010-01-01 00:00:00,"",2010-01-01 00:00:00,"",http://www.acf.hhs.gov/programs/cb,1996-03-01 00:00:00,http://healthdata.gov/id/agency/acf,Children's Health,0,National Child Abuse and Neglect Data System (NCANDS) Child File,d64e5097-0d81-41d6-a58a-7c36dbb8d585,http://www.ndacan.cornell.edu/Ndacan/Datasets/Abstracts/DatasetAbstract_166.html,,"","","","","","","",National,Annually,2012-03-01 00:00:00,http://www.ndacan.cornell.edu/NDACAN/Datasets/Agreements_Licenses/Terms_of_Use_General.pdf,1,Safety,"","",""
License Not Specified,,false,,03edc320-4eb7-4089-b66a-a54760a44b28,2012-05-30T22:08:31.298083,"",License Not Specified,2012-08-22T15:28:06.017162,Centers for Medicare & Medicaid Services,,active,,notspecified,dataset,"community health, health, home health, home health agency, home health compare, quality measures",0,0,"",,home-health-compare,false,"<p>The data that is used by the Home Health Compare tool can be downloaded for public use.  This functionality is primarily used by health policy researchers and the media. The data provided includes demographics, Medicare-certified services, quality measures, state averages for measures, and zip codes in which each home health agency has provided services to. The data used to calculate the quality measures will be refreshed the third month of each quarter and represent a rolling 12 months of data.
</p>",http://www.medicare.gov/Download/HHCompare_flatfiles.zip,http://hub.healthdata.gov/dataset/home-health-compare,"The data that is used by the Home Health Compare tool can be downloaded for public use.  This functionality is primarily used by health policy researchers and the media. The data provided includes demographics, Medicare-certified services, quality measures, state averages for measures, and zip codes in which each home health agency has provided services to. The data used to calculate the quality measures will be refreshed the third month of each quarter and represent a rolling 12 months of data.",,,"",Establishment,219,Department of Health & Human Services,"",Country,"","",http://www.medicare.gov/HHCompare/Home.asp?version=default&browser=IE%7C7%7CWinXP&language=English&defaultstatus=0&pagelist=Home&CookiesEnabledStatus=True,2012-08-22 00:00:00,http://healthdata.gov/id/agency/cms,Quality Measurement,0,Home Health Compare,ffcb58f2-2055-4032-8697-fe346f0c33be,http://data.medicare.gov/dataset/Home-Health-Care-Facilities/6jpm-sxkc,API,"","","","",2008-01-01 00:00:00,2009-12-31 00:00:00,"{""datadotgovid1"": ""462"", ""Date Released"": """", ""datadotgovid2"": ""hwsz-gp5w"", ""Coverage Period End"": ""2009"", ""Coverage Period Start"": ""2008""}","",Quarterly,2009-06-26 00:00:00,"","","","","",""
License Not Specified,,false,,0477da33-0795-4669-bba5-cc494604b022,2012-05-30T22:09:45.251702,"",License Not Specified,2012-08-30T16:32:42.708457,National Library of Medicine,,active,,notspecified,dataset,community health,0,0,"",,genetics-home-reference,false,"<p>The National Library of Medicine's web site for consumer information about genetic conditions and the genes responsible for those conditions.
</p>",http://ghr.nlm.nih.gov/,http://hub.healthdata.gov/dataset/genetics-home-reference,The National Library of Medicine's web site for consumer information about genetic conditions and the genes responsible for those conditions.,,,http://www.nlm.nih.gov/mesh/MBrowser.html,Health Information,309,National Institutes of Health,"","","",http://www.nlm.nih.gov/pubs/factsheets/ghr.html,http://www.nlm.nih.gov/,2003-01-01 00:00:00,http://healthdata.gov/id/agency/nlm,Biomedical Research,0,Genetics home reference,f0077825-535a-4c5c-a484-c560b17f15e9,http://ghr.nlm.nih.gov/,API,"","","","",2003-01-01 00:00:00,2003-01-01 00:00:00,"{""Coverage Period Start"": ""2003"", ""Coverage Period End"": ""Current"", ""datadotgovid1"": ""1246"", ""datadotgovid2"": ""syes-z6ac"", ""Date Updated"": ""As needed"", ""Date Released"": ""2003""}",Worldwide,"",2012-08-22 00:00:00,"","","","","",""
License Not Specified,,false,,051e2286-3292-4c96-bf41-e97ab9675606,2012-11-01T16:31:33.272239,"",License Not Specified,2012-11-01T16:31:33.272239,Centers for Medicare & Medicaid Services,,active,,notspecified,dataset,"carrier, claims, medicare, part b, physician supplier",0,0,4d3883e9-d295-4e5a-85e9-dfafb02b0e31,,2010-basic-stand-alone-carrier,false,"<p>The CMS 2010 BSA Carrier Line Items PUF originates from a 5% simple random sample of beneficiaries drawn (without replacement) from the 100% Beneficiary Summary File for reference year 2010. 
</p>",http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/BSAPUFS/index.html,http://hub.healthdata.gov/dataset/2010-basic-stand-alone-carrier,The CMS 2010 BSA Carrier Line Items PUF originates from a 5% simple random sample of beneficiaries drawn (without replacement) from the 100% Beneficiary Summary File for reference year 2010. ,,,http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/BSAPUFS/Downloads/2010_Carrier_Data_Dictionary.pdf,Carrier Claim Line Item,23764,Department of Health & Human Services,2010-01-01 00:00:00,"",2010-01-01 00:00:00,http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/BSAPUFS/Downloads/2010_Carrier_GenDoc.pdf,http://www.cms.gov/Research-Statistics-Data-and-Systems/Research-Statistics-Data-and-Systems.html,2012-10-02 00:00:00,http://healthdata.gov/id/agency/cms,Medicare,0,2010 Basic Stand Alone Carrier Line Items PUF,b1e7d7b3-f8ce-4359-ad48-c0e0886b45c5,http://www.cms.gov/Research-Statistics-Data-and-Systems/Statistics-Trends-and-Reports/BSAPUFS/Downloads/2010_Carrier_PUF.zip,CSV,"","","","","","","","","","","","","","","",""
License Not Specified,,false,,05457387-7ab6-4c1a-9dba-b1e5bdd5f2ad,2012-05-30T22:10:24.992965,"",License Not Specified,2012-05-30T22:10:24.992965,Centers for Medicare & Medicaid Services,,active,,notspecified,dataset,"community health, dialysis, esrd, hcris, reimbursement, renal",0,0,"",,renal-dialysis-facility-medicare-cost-report-data-1996,false,"<p>A collection of Renal Dialysis Facility Medicare cost report data from the CMS Form 265-94.
</p>",http://www.cms.hhs.gov/CostReports/CostReportsFY/list.asp#TopOfPage,http://hub.healthdata.gov/dataset/renal-dialysis-facility-medicare-cost-report-data-1996,A collection of Renal Dialysis Facility Medicare cost report data from the CMS Form 265-94.,,,"",Renal Dialysis Facility,351,Department of Health & Human Services,"",ZIP Code,"",http://www.cms.hhs.gov/CostReports/04_RenalFacility.asp#TopOfPage,http://www.cms.hhs.gov/costreports,"",http://healthdata.gov/id/agency/cms,Medicare,0,Renal Dialysis Facility Medicare Cost Report Data - FY 1996,3c486cea-619c-4694-b752-91af0ded5099,http://www.cms.hhs.gov/CostReports/downloads/RENALFY1996.zip,CSV,"","","","",1996-01-01,1996-12-31,"{""Coverage Period Start"": ""1996"", ""Coverage Period End"": ""1996"", ""datadotgovid1"": ""777"", ""datadotgovid2"": ""aizd-zk4i"", ""Date Updated"": ""Current"", ""Date Released"": ""Current""}","",Quarterly,"","","","",Renal Dialysis Facility Medicare Cost Report Data,"",""
